Ministerstwo,Nazwa biura/departamentu,Link to biura,Znalezione maile
Ministerstwo Kultury i Dziedzictwa Narodowego,Departament Własności Intelektualnej i Mediów,https://www.gov.pl/web/kultura/departament-wlasnosci-intelektualnej-i-mediow,{'dwim@mkidn.gov.pl'}
Ministerstwo Kultury i Dziedzictwa Narodowego,Departament Legislacyjny,https://www.gov.pl/web/kultura/departament-legislacyjny,{'dl@mkidn.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Departament Budżetu ,https://www.gov.pl/web/fundusze-regiony/departament-budzetu,{'sekretariatDBR@mfipr.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Gabinet Polityczny,https://www.gov.pl/web/fundusze-regiony/gabinet-polityczny,"{'sekretariatGP@mfipr.gov.pl', 'sekretariatGP@miir.gov.pl'}"
Ministerstwo Funduszy i Polityki Regionalnej,Departament Strategii ,https://www.gov.pl/web/fundusze-regiony/departament-strategii,{'sekretariatDSR@mfipr.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Departament Współpracy Terytorialnej,https://www.gov.pl/web/fundusze-regiony/departament-wspolpracy-terytorialnej1,{'sekretariatDWT@mfipr.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Departament Spraw Europejskich i Współpracy Międzynarodowej,https://www.gov.pl/web/fundusze-regiony/departament-spraw-europejskich1-i-wspolpracy-miedzynarodowej,{'sekretariatDEM@mfipr.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Departament Rozwoju Cyfrowego,https://www.gov.pl/web/fundusze-regiony/departament-rozwoju-cyfrowego1,{'sekretariatDRC@mfipr.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Departament Programów Infrastrukturalnych,https://www.gov.pl/web/fundusze-regiony/departament-programow-infrastrukturalnych1,"{'sekretariatDPI@mfipr.gov.pl', 'sekretariatDPI@miir.gov.pl'}"
Ministerstwo Funduszy i Polityki Regionalnej,Departament Regionalnych Programów Operacyjnych,https://www.gov.pl/web/fundusze-regiony/departament-regionalnych-programow-operacyjnych1,{'sekretariatDRP@mfipr.gov.pl'}
Ministerstwo Klimatu,Departament Ochrony Powietrza i Polityki Miejskiej,https://www.gov.pl/web/klimat/departament-ochrony-powietrza-i-polityki-miejskiej,set()
Ministerstwo Klimatu,Departament Gospodarki Odpadami,https://www.gov.pl/web/klimat/departament-gospodarki-odpadami,{'Departament.Gospodarki.Odpadami@klimat.gov.pl'}
Ministerstwo Klimatu,Departament Energii Jądrowej,https://www.gov.pl/web/klimat/departament-energii-jadrowej,{'departament.energii.jadrowej@klimat.gov.pl'}
Ministerstwo Klimatu,Departament Ciepłownictwa,https://www.gov.pl/web/klimat/departament-cieplownictwa,set()
Ministerstwo Klimatu,Departament Funduszy Europejskich,https://www.gov.pl/web/klimat/departament-funduszy-europejskich,{'departament.funduszy.europejskich@klimat.gov.pl'}
Ministerstwo Klimatu,Departament Elektromobilności i Gospodarki Wodorowej,https://www.gov.pl/web/klimat/elektromobilnosci-i-gospodarki-wodorowej,set()
Ministerstwo Klimatu,Departament Elektroenergetyki,https://www.gov.pl/web/klimat/departament-elektroenergetyki,set()
Ministerstwo Kultury i Dziedzictwa Narodowego,Departament Ochrony Zabytków,https://www.gov.pl/web/kultura/departament-ochrony-zabytkow,{'doz@mkidn.gov.pl'}
Ministerstwo Klimatu,Departament Edukacji i Komunikacji,https://www.gov.pl/web/klimat/departament-edukacji-i-komunikacji,"{'20Departament.Edukacji.i.Komunikacji@klimat.gov.pl', 'Departament.Edukacji.i.Komunikacji@klimat.gov.pl'}"
Ministerstwo Kultury i Dziedzictwa Narodowego,Departament Dziedzictwa Kulturowego,https://www.gov.pl/web/kultura/departament-dziedzictwa-kulturowego,{'ddk@mkidn.gov.pl'}
Ministerstwo Kultury i Dziedzictwa Narodowego,Departament Mecenatu Państwa,https://www.gov.pl/web/kultura/departament-mecenatu-panstwa,{'dmp@mkidn.gov.pl'}
Ministerstwo Kultury i Dziedzictwa Narodowego,Departament Szkolnictwa Artystycznego i Edukacji Kulturalnej,https://www.gov.pl/web/kultura/departament-szkolnictwa-artystycznego-i-edukacji-kulturalnej,{'dek@mkidn.gov.pl'}
Ministerstwo Kultury i Dziedzictwa Narodowego,Departament Funduszy i Spraw Europejskich,https://www.gov.pl/web/kultura/departament-funduszy-i-spraw-europejskich,{'dfe@mkidn.gov.pl'}
Ministerstwo Kultury i Dziedzictwa Narodowego,Departament Finansowy,https://www.gov.pl/web/kultura/departament-finansowy,{'df@mkidn.gov.pl'}
Ministerstwo Kultury i Dziedzictwa Narodowego,Departament Narodowych Instytucji Kultury,https://www.gov.pl/web/kultura/departament-narodowych-instytucji-kultury,{'dik@mkidn.gov.pl'}
Ministerstwo Klimatu,Departament Budżetu i Finansów,https://www.gov.pl/web/klimat/departament-budzetu-i-finansow,set()
Ministerstwo Klimatu,Departament Strategii i Planowania Transformacji Klimatycznej,https://www.gov.pl/web/klimat/departament-strategii-i-planowania-transformacji-klimatycznej,set()
Ministerstwo Klimatu,"Departament Spraw Obronnych, Zarządzania Kryzysowego i Bezpieczeństwa",https://www.gov.pl/web/klimat/departament-spraw-obronnych-zarzadzania-kryzysowego-i-bezpieczenstwa,"{'dso@klimat.gov.pl', 'DSO@klimat.gov.pl'}"
Ministerstwo Klimatu,Departament Instrumentów Środowiskowych,https://www.gov.pl/web/klimat/departament-instrumentow-srodowiskowych,set()
Ministerstwo Klimatu,Departament Spraw Międzynarodowych,https://www.gov.pl/web/klimat/departament-spraw-miedzynarodowych,set()
Ministerstwo Klimatu,Biuro Dyrektora Generalnego,https://www.gov.pl/web/klimat/biuro-dyrektora-generalnego,{'Biuro.Dyrektora.Generalnego@klimat.gov.pl'}
Ministerstwo Klimatu,Departament Ropy i Gazu,https://www.gov.pl/web/klimat/departament-ropy-i-gazu,{'departament.ropy.i.gazu@klimat.gov.pl'}
Ministerstwo Klimatu,Departament Prawny,https://www.gov.pl/web/klimat/departament-prawny,{'Departament.Prawny@klimat.gov.pl'}
Ministerstwo Klimatu,Departament Odnawialnych Źródeł Energii,https://www.gov.pl/web/klimat/departament-odnawialnych-zrodel-energii,{'departament.odnawialnych.zrodel.energii@klimat.gov.pl'}
Ministerstwo Klimatu,Biuro Kontroli i Audytu ,https://www.gov.pl/web/klimat/biuro-kontroli-i-audytu,{'Biuro.Kontroli.i.Audytu.Wewnetrznego@klimat.gov.pl'}
Ministerstwo Rolnictwa i Rozwoju Wsi,Gabinet Polityczny Ministra,https://www.gov.pl/web/rolnictwo/gabinet-polityczny-ministra2,set()
Ministerstwo Rolnictwa i Rozwoju Wsi,Departament Bezpieczeństwa Hodowli i Produkcji Zwierzęcej,https://www.gov.pl/web/rolnictwo/departament-bezpieczenstwa-hodowli-i-produkcji-zwierzecej,{'sekretariat.bhz@minrol.gov.pl'}
Ministerstwo Rolnictwa i Rozwoju Wsi,Departament Bezpieczeństwa i Zarządzania Kryzysowego,https://www.gov.pl/web/rolnictwo/departament-bezpieczenstwa-i-zarzadzania-kryzysowego,"{'sekretariat.bzk@minrol.gov.pl', 'sekretariat.bhz@minrol.gov.pl'}"
Ministerstwo Klimatu,Biuro Ministra,https://www.gov.pl/web/klimat/biuro-ministra,{'Biuro.Ministra@klimat.gov.pl'}
Ministerstwo Spraw Zagranicznych,Departament Wschodni,https://www.gov.pl/web/dyplomacja/departament-wschodni,{'DW.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Departament Współpracy Rozwojowej,https://www.gov.pl/web/dyplomacja/departament-wspolpracy-rozwojowej,{'DWR.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Departament Współpracy Ekonomicznej,https://www.gov.pl/web/dyplomacja/departament-wspolpracy-ekonomicznej,{'DWE.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Departament Strategii Polityki Zagranicznej,https://www.gov.pl/web/dyplomacja/departament-strategii-polityki-zagranicznej,{'dspz.sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Departament Narodów Zjednoczonych i Praw Człowieka,https://www.gov.pl/web/dyplomacja/departament-narodow-zjednoczonych-i-praw-czlowieka,{'DNZPC.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Departament Polityki Bezpieczeństwa,https://www.gov.pl/web/dyplomacja/departament-polityki-bezpieczenstwa,{'DPB.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Departament Polityki Europejskiej,https://www.gov.pl/web/dyplomacja/departament-polityki-europejskiej,{'dpe.sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Departament Prawno-Traktatowy,https://www.gov.pl/web/dyplomacja/departament-prawno-traktatowy,{'DPT.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Departament Ekonomiczny Unii Europejskiej,https://www.gov.pl/web/dyplomacja/departament-ekonomiczny-unii-europejskiej,{'DEUE.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Departament Konsularny,https://www.gov.pl/web/dyplomacja/departament-konsularny,{'DK.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Departament Dyplomacji Publicznej i Kulturalnej,https://www.gov.pl/web/dyplomacja/departament-dyplomacji-publicznej-i-kulturalnej,{'DDPK.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Departament Azji i Pacyfiku,https://www.gov.pl/web/dyplomacja/departament-azji-i-pacyfiku,{'DAP.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Departament Ameryki,https://www.gov.pl/web/dyplomacja/departament-ameryki,{'DA.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Departament Afryki i Bliskiego Wschodu,https://www.gov.pl/web/dyplomacja/departament-afryki-i-bliskiego-wschodu,{'DABW.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Biuro Ochrony Informacji Niejawnych,https://www.gov.pl/web/dyplomacja/biuro-ochrony-informacji-niejawnych,{'boin.sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Biuro Rzecznika Prasowego MSZ,https://www.gov.pl/web/dyplomacja/biuro-rzecznika-prasowego-msz,{'Rzecznik@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Biuro Spraw Osobowych,https://www.gov.pl/web/dyplomacja/biuro-spraw-osobowych,{'BSO.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Biuro Inwestycji,https://www.gov.pl/web/dyplomacja/biuro-inwestycji,{'BI.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Biuro Kontroli i Audytu,https://www.gov.pl/web/dyplomacja/biuro-kontroli-i-audytu,{'BKA.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Biuro Informatyki i Telekomunikacji,https://www.gov.pl/web/dyplomacja/biuro-informatyki-i-telekomunikacji,{'BIT.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Biuro Dyrektora Politycznego,https://www.gov.pl/web/dyplomacja/biuro-dyrektora-politycznego,{'BDP.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Biuro Finansów,https://www.gov.pl/web/dyplomacja/biuro-finansow,{'BF.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Biuro Dyrektora Generalnego,https://www.gov.pl/web/dyplomacja/biuro-dyrektora-generalnego,{'BDG.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Biuro Archiwum i Zarządzania Informacją,https://www.gov.pl/web/dyplomacja/biuro-archiwum-i-zarzadzania-informacja,{'BAZI.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Biuro Administracji,https://www.gov.pl/web/dyplomacja/biuro-administracji,{'BA.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Akademia Dyplomatyczna MSZ,https://www.gov.pl/web/dyplomacja/akademia-dyplomatyczna,{'ad.sekretariat@msz.gov.pl'}
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Departament Ubezpieczeń Społecznych,https://www.gov.pl/web/rodzina/departament-ubezpieczen-spolecznych,{'info@mrpips.gov.pl'}
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Biuro Pełnomocnika Rządu do Spraw Równego Traktowania,https://www.gov.pl/web/rodzina/biuro-pelnomocnika-rzadu-do-spraw-rownego-traktowania,{'sekretariat.BRT@mrpips.gov.pl'}
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Biuro Pełnomocnika Rządu do Spraw Polityki Demograficznej,https://www.gov.pl/web/rodzina/biuro-pelnomocnika-rzadu-do-spraw-polityki-demograficznej,{'sekretariat.BPD@mrpips.gov.pl'}
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Biuro Pełnomocnika Rządu do Spraw Osób Niepełnosprawnych,https://www.gov.pl/web/rodzina/biuro-pelnomocnika-rzadu-do-spraw-osob-niepelnosprawnych,set()
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Biuro Ministra,https://www.gov.pl/web/rodzina/biuro-ministra,{'sekretariat.BM@mrpips.gov.pl'}
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Biuro Dyrektora Generalnego,https://www.gov.pl/web/rodzina/biuro-dyrektora-generalnego1,{'sekretariat.BDG@mrpips.gov.pl'}
Ministerstwo Zdrowia,Departament Dialogu Społecznego,https://www.gov.pl/web/zdrowie/departament-dialoguspolecznego,{'dep-ds@mz.gov.pl'}
Ministerstwo Zdrowia,Departament Budżetu i Finansów,https://www.gov.pl/web/zdrowie/departament-budzetu-i-finansow,{'dep-bf@mz.gov.pl'}
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Dyrektor Generalny,https://www.gov.pl/web/rodzina/dyrektor-generalny3,{'sekretariat.dg@mrpips.gov.pl'}
Ministerstwo Zdrowia,Departament Analiz i Strategii,https://www.gov.pl/web/zdrowie/departament-analizstrategii,{'dep-as@mz.gov.pl'}
